circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss,chosen_family
div,7089,128,0.05,gnn_only,51211.0,34215.0,120176.0,0.4261333377712688,False,inv_depth
div,7089,128,0.1,gnn_only,79880.0,47417.0,143757.0,0.5556598983006045,False,inv_depth
div,7089,128,0.2,gnn_only,102284.0,81956.0,151704.0,0.674234034699151,False,inv_depth
div,7089,128,0.05,shuffled_gnn,7179.0,34215.0,120176.0,0.05973738516841965,True,inv_depth
div,7089,128,0.1,shuffled_gnn,14638.0,47417.0,143757.0,0.10182460680175574,True,inv_depth
div,7089,128,0.2,shuffled_gnn,30322.0,81956.0,151704.0,0.19987607446079206,True,inv_depth
div,7089,128,0.05,pure_static_proximity,34215.0,34215.0,120176.0,0.28470742910398084,False,inv_depth
div,7089,128,0.1,pure_static_proximity,47417.0,47417.0,143757.0,0.3298413294656956,False,inv_depth
div,7089,128,0.2,pure_static_proximity,81956.0,81956.0,151704.0,0.5402362495385751,False,inv_depth
div,7089,128,0.05,cache_structural_only,25589.0,34215.0,120176.0,0.21292937025695646,True,inv_depth
div,7089,128,0.1,cache_structural_only,39279.0,47417.0,143757.0,0.27323191218514575,True,inv_depth
div,7089,128,0.2,cache_structural_only,65087.0,81956.0,151704.0,0.4290394452354585,True,inv_depth
div,7089,128,0.05,structural_family_only,11759.0,34215.0,120176.0,0.0978481560378112,True,inv_depth
div,7089,128,0.1,structural_family_only,24984.0,47417.0,143757.0,0.17379327615350904,True,inv_depth
div,7089,128,0.2,structural_family_only,40466.0,81956.0,151704.0,0.2667431313610716,True,inv_depth
hyp,7089,128,0.05,segr_structure_derived_selector,1109611.0,764617.0,1316997.0,0.8425311523109013,False,index_mid
hyp,7089,128,0.1,segr_structure_derived_selector,2157635.0,1083944.0,2574553.0,0.8380619859059029,False,index_mid
hyp,7089,128,0.2,segr_structure_derived_selector,3559527.0,1536353.0,4877593.0,0.7297712211740504,False,index_mid
hyp,7089,128,0.05,no_gnn,304284.0,764617.0,1316997.0,0.23104380647791908,True,index_mid
hyp,7089,128,0.1,no_gnn,792234.0,1083944.0,2574553.0,0.3077171066200618,True,index_mid
hyp,7089,128,0.2,no_gnn,1753772.0,1536353.0,4877593.0,0.3595568551947651,False,index_mid
hyp,7089,128,0.05,gnn_only,492792.0,764617.0,1316997.0,0.3741785288804758,True,index_mid
hyp,7089,128,0.1,gnn_only,1123337.0,1083944.0,2574553.0,0.4363231209456554,False,index_mid
hyp,7089,128,0.2,gnn_only,2415363.0,1536353.0,4877593.0,0.495195683608698,False,index_mid
hyp,7089,128,0.05,shuffled_gnn,570210.0,764617.0,1316997.0,0.4329622618730339,True,index_mid
hyp,7089,128,0.1,shuffled_gnn,1149910.0,1083944.0,2574553.0,0.44664452431159896,False,index_mid
hyp,7089,128,0.2,shuffled_gnn,2290446.0,1536353.0,4877593.0,0.46958530570303836,False,index_mid
hyp,7089,128,0.05,pure_static_proximity,764617.0,764617.0,1316997.0,0.5805761136889453,False,index_mid
hyp,7089,128,0.1,pure_static_proximity,1083944.0,1083944.0,2574553.0,0.42102221239958937,False,index_mid
hyp,7089,128,0.2,pure_static_proximity,1536353.0,1536353.0,4877593.0,0.3149817953240461,False,index_mid
hyp,7089,128,0.05,cache_structural_only,415353.0,764617.0,1316997.0,0.3153788505212996,True,index_mid
hyp,7089,128,0.1,cache_structural_only,840853.0,1083944.0,2574553.0,0.3266015498612769,True,index_mid
hyp,7089,128,0.2,cache_structural_only,1723127.0,1536353.0,4877593.0,0.35327404316022265,False,index_mid
hyp,7089,128,0.05,structural_family_only,784352.0,764617.0,1316997.0,0.5955609617941423,False,index_mid
hyp,7089,128,0.1,structural_family_only,1288057.0,1083944.0,2574553.0,0.5003031594222376,False,index_mid
hyp,7089,128,0.2,structural_family_only,2655832.0,1536353.0,4877593.0,0.5444964350244065,False,index_mid
i2c,7089,128,0.05,segr_structure_derived_selector,8704.0,8704.0,8704.0,1.0,False,pdom_dist
i2c,7089,128,0.1,segr_structure_derived_selector,17408.0,17408.0,17408.0,1.0,False,pdom_dist
