circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss
arbiter,7089,128,0.05,selector_family_diagnostics:role_depth_frontier_idx_edge_depth_inv,5658.0,36110.0,43102.0,0.13127001067235858,True
arbiter,7089,128,0.1,selector_family_diagnostics:role_depth_frontier_idx_edge_depth_inv,10305.0,50079.0,57142.0,0.18034020510307655,True
arbiter,7089,128,0.2,selector_family_diagnostics:role_depth_frontier_idx_edge_depth_inv,22212.0,61694.0,63284.0,0.3509891915808103,True
arbiter,7089,128,0.05,selector_family_diagnostics:role_depth_biindex_dist,37133.0,36110.0,43102.0,0.8615145468887755,False
arbiter,7089,128,0.1,selector_family_diagnostics:role_depth_biindex_dist,50005.0,50079.0,57142.0,0.8751006265093977,True
arbiter,7089,128,0.2,selector_family_diagnostics:role_depth_biindex_dist,59445.0,61694.0,63284.0,0.9393369572087732,True
bar,7089,128,0.05,selector_family_diagnostics:static_proximity,15463.0,15463.0,16311.0,0.9480105450309607,False
bar,7089,128,0.1,selector_family_diagnostics:static_proximity,28736.0,28736.0,28736.0,1.0,False
bar,7089,128,0.2,selector_family_diagnostics:static_proximity,39326.0,39326.0,39500.0,0.9955949367088608,False
bar,7089,128,0.05,selector_family_diagnostics:dist_avg_inv,15463.0,15463.0,16311.0,0.9480105450309607,False
bar,7089,128,0.1,selector_family_diagnostics:dist_avg_inv,28736.0,28736.0,28736.0,1.0,False
bar,7089,128,0.2,selector_family_diagnostics:dist_avg_inv,39346.0,39326.0,39500.0,0.9961012658227848,False
bar,7089,128,0.05,selector_family_diagnostics:pagerank,9021.0,15463.0,16311.0,0.5530623505609711,True
bar,7089,128,0.1,selector_family_diagnostics:pagerank,11675.0,28736.0,28736.0,0.4062847995545657,True
bar,7089,128,0.2,selector_family_diagnostics:pagerank,18430.0,39326.0,39500.0,0.46658227848101264,True
bar,7089,128,0.05,selector_family_diagnostics:betweenness,4730.0,15463.0,16311.0,0.2899883514192876,True
bar,7089,128,0.1,selector_family_diagnostics:betweenness,9034.0,28736.0,28736.0,0.3143791759465479,True
bar,7089,128,0.2,selector_family_diagnostics:betweenness,14903.0,39326.0,39500.0,0.37729113924050633,True
bar,7089,128,0.05,selector_family_diagnostics:eigen,191.0,15463.0,16311.0,0.011709889031941634,True
bar,7089,128,0.1,selector_family_diagnostics:eigen,325.0,28736.0,28736.0,0.011309855233853007,True
bar,7089,128,0.2,selector_family_diagnostics:eigen,509.0,39326.0,39500.0,0.012886075949367089,True
bar,7089,128,0.05,selector_family_diagnostics:out_deg,2794.0,15463.0,16311.0,0.17129544479185826,True
bar,7089,128,0.1,selector_family_diagnostics:out_deg,3950.0,28736.0,28736.0,0.13745824053452116,True
bar,7089,128,0.2,selector_family_diagnostics:out_deg,12276.0,39326.0,39500.0,0.31078481012658227,True
bar,7089,128,0.05,selector_family_diagnostics:inv_depth,15151.0,15463.0,16311.0,0.9288823493348047,True
bar,7089,128,0.1,selector_family_diagnostics:inv_depth,28334.0,28736.0,28736.0,0.986010579064588,True
bar,7089,128,0.2,selector_family_diagnostics:inv_depth,39257.0,39326.0,39500.0,0.9938481012658228,True
bar,7089,128,0.05,selector_family_diagnostics:cache_struct,8306.0,15463.0,16311.0,0.5092269020906137,True
bar,7089,128,0.1,selector_family_diagnostics:cache_struct,11377.0,28736.0,28736.0,0.39591453229398665,True
bar,7089,128,0.2,selector_family_diagnostics:cache_struct,19076.0,39326.0,39500.0,0.4829367088607595,True
bar,7089,128,0.05,selector_family_diagnostics:gnn_rank,1059.0,15463.0,16311.0,0.06492551039176016,True
bar,7089,128,0.1,selector_family_diagnostics:gnn_rank,3346.0,28736.0,28736.0,0.11643930957683742,True
bar,7089,128,0.2,selector_family_diagnostics:gnn_rank,24242.0,39326.0,39500.0,0.6137215189873417,True
bar,7089,128,0.05,selector_family_diagnostics:final_score,15465.0,15463.0,16311.0,0.9481331616700386,False
bar,7089,128,0.1,selector_family_diagnostics:final_score,28736.0,28736.0,28736.0,1.0,False
bar,7089,128,0.2,selector_family_diagnostics:final_score,39348.0,39326.0,39500.0,0.9961518987341772,False
bar,7089,128,0.05,selector_family_diagnostics:final_rank,15465.0,15463.0,16311.0,0.9481331616700386,False
bar,7089,128,0.1,selector_family_diagnostics:final_rank,28736.0,28736.0,28736.0,1.0,False
bar,7089,128,0.2,selector_family_diagnostics:final_rank,39348.0,39326.0,39500.0,0.9961518987341772,False
bar,7089,128,0.05,selector_family_diagnostics:index_mid,1923.0,15463.0,16311.0,0.11789589847342284,True
