circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss,chosen_family
bar,7089,128,0.05,segr_l3,15463.0,15463.0,16311.0,0.9480105450309607,False,pdom_dist
bar,7089,128,0.1,segr_l3,28736.0,28736.0,28736.0,1.0,False,pdom_dist
bar,7089,128,0.2,segr_l3,39346.0,39326.0,39500.0,0.9961012658227848,False,pdom_dist
cavlc,7089,128,0.05,segr_l3,2088.0,2088.0,2488.0,0.8392282958199357,False,pdom_dist
cavlc,7089,128,0.1,segr_l3,3038.0,2810.0,3300.0,0.9206060606060606,False,pdom_dist
cavlc,7089,128,0.2,segr_l3,3750.0,3512.0,3979.0,0.9424478512188992,False,pdom_dist
ctrl,7089,128,0.05,segr_l3,1152.0,1152.0,1152.0,1.0,False,pdom_dist
ctrl,7089,128,0.1,segr_l3,2123.0,2123.0,2176.0,0.9756433823529411,False,pdom_dist
ctrl,7089,128,0.2,segr_l3,3423.0,3423.0,3890.0,0.8799485861182519,False,pdom_dist
dec,7089,128,0.05,segr_l3,384.0,384.0,384.0,1.0,False,index_mid
dec,7089,128,0.1,segr_l3,640.0,640.0,640.0,1.0,False,index_mid
dec,7089,128,0.2,segr_l3,1280.0,1280.0,1280.0,1.0,False,index_mid
div,7089,128,0.05,segr_l3,57759.0,34215.0,120176.0,0.48062009053388366,False,pdom_dist
div,7089,128,0.1,segr_l3,78862.0,47417.0,143757.0,0.5485785040032833,False,pdom_dist
div,7089,128,0.2,segr_l3,97623.0,81956.0,151704.0,0.6435097294731846,False,pdom_dist
hyp,7089,128,0.05,segr_l3,1109611.0,764617.0,1316997.0,0.8425311523109013,False,index_mid
hyp,7089,128,0.1,segr_l3,2157635.0,1083944.0,2574553.0,0.8380619859059029,False,index_mid
hyp,7089,128,0.2,segr_l3,3559527.0,1536353.0,4877593.0,0.7297712211740504,False,index_mid
i2c,7089,128,0.05,segr_l3,8704.0,8704.0,8704.0,1.0,False,pdom_dist
