figure,circuit,budget,variant,public_name,segr_value,variant_value,oracle_value,delta,segr_ratio,variant_ratio,sign
Fig5,hyp,0.05,shuffled_gnn,Shuffled-GNN,1109611.0,570417.0,1316997.0,0.40941171468120274,0.8425311523109013,0.43311943762969846,positive
Fig5,hyp,0.05,cache_structural_only,Cache-Struct,1109611.0,696523.0,1316997.0,0.31365902883605656,0.8425311523109013,0.5288721234748447,positive
Fig5,hyp,0.05,structural_family_only,Struct-Family,1109611.0,784352.0,1316997.0,0.24697019051675895,0.8425311523109013,0.5955609617941423,positive
Fig5,hyp,0.1,pure_static_proximity,Static-Prox,2157635.0,1083944.0,2574553.0,0.41703977350631355,0.8380619859059029,0.42102221239958937,positive
Fig5,hyp,0.1,no_gnn,SEGR w/o GNN,2157635.0,1442908.0,2574553.0,0.2776120747951198,0.8380619859059029,0.5604499111107831,positive
Fig5,hyp,0.1,gnn_only,GNN-only,2157635.0,1125149.0,2574553.0,0.4010350534636498,0.8380619859059029,0.4370269324422531,positive
Fig5,hyp,0.1,shuffled_gnn,Shuffled-GNN,2157635.0,1149956.0,2574553.0,0.39139959441503047,0.8380619859059029,0.4466623914908724,positive
Fig5,hyp,0.1,cache_structural_only,Cache-Struct,2157635.0,1275462.0,2574553.0,0.34265093785212425,0.8380619859059029,0.49541104805377867,positive
Fig5,hyp,0.1,structural_family_only,Struct-Family,2157635.0,1288057.0,2574553.0,0.33775882648366534,0.8380619859059029,0.5003031594222376,positive
Fig5,hyp,0.2,pure_static_proximity,Static-Prox,3559527.0,1536353.0,4877593.0,0.4147894258500043,0.7297712211740504,0.3149817953240461,positive
Fig5,hyp,0.2,no_gnn,SEGR w/o GNN,3559527.0,2810410.0,4877593.0,0.15358333505891122,0.7297712211740504,0.5761878861151392,positive
Fig5,hyp,0.2,gnn_only,GNN-only,3559527.0,2416294.0,4877593.0,0.23438466473114916,0.7297712211740504,0.49538655644290125,positive
Fig5,hyp,0.2,shuffled_gnn,Shuffled-GNN,3559527.0,2291478.0,4877593.0,0.2599743357020563,0.7297712211740504,0.46979688547199405,positive
Fig5,hyp,0.2,cache_structural_only,Cache-Struct,3559527.0,2567729.0,4877593.0,0.20333758884761396,0.7297712211740504,0.5264336323264365,positive
Fig5,hyp,0.2,structural_family_only,Struct-Family,3559527.0,2655832.0,4877593.0,0.1852747861496439,0.7297712211740504,0.5444964350244065,positive
Fig5,i2c,0.05,pure_static_proximity,Static-Prox,8704.0,8704.0,8704.0,0.0,1.0,1.0,zero
Fig5,i2c,0.05,no_gnn,SEGR w/o GNN,8704.0,8704.0,8704.0,0.0,1.0,1.0,zero
Fig5,i2c,0.05,gnn_only,GNN-only,8704.0,3470.0,8704.0,0.6013327205882353,1.0,0.3986672794117647,positive
Fig5,i2c,0.05,shuffled_gnn,Shuffled-GNN,8704.0,2473.0,8704.0,0.7158777573529411,1.0,0.2841222426470588,positive
Fig5,i2c,0.05,cache_structural_only,Cache-Struct,8704.0,7875.0,8704.0,0.09524356617647059,1.0,0.9047564338235294,positive
Fig5,i2c,0.05,structural_family_only,Struct-Family,8704.0,8704.0,8704.0,0.0,1.0,1.0,zero
Fig5,i2c,0.1,pure_static_proximity,Static-Prox,17408.0,17408.0,17408.0,0.0,1.0,1.0,zero
Fig5,i2c,0.1,no_gnn,SEGR w/o GNN,17408.0,17408.0,17408.0,0.0,1.0,1.0,zero
Fig5,i2c,0.1,gnn_only,GNN-only,17408.0,7632.0,17408.0,0.5615808823529411,1.0,0.4384191176470588,positive
Fig5,i2c,0.1,shuffled_gnn,Shuffled-GNN,17408.0,4912.0,17408.0,0.7178308823529411,1.0,0.2821691176470588,positive
Fig5,i2c,0.1,cache_structural_only,Cache-Struct,17408.0,15344.0,17408.0,0.11856617647058823,1.0,0.8814338235294118,positive
Fig5,i2c,0.1,structural_family_only,Struct-Family,17408.0,17408.0,17408.0,0.0,1.0,1.0,zero
Fig5,i2c,0.2,pure_static_proximity,Static-Prox,27645.0,27645.0,28648.0,0.0,0.9649888299357722,0.9649888299357722,zero
Fig5,i2c,0.2,no_gnn,SEGR w/o GNN,27645.0,24823.0,28648.0,0.09850600390952248,0.9649888299357722,0.8664828260262496,positive
Fig5,i2c,0.2,gnn_only,GNN-only,27645.0,16342.0,28648.0,0.3945476123987713,0.9649888299357722,0.5704412175370008,positive
Fig5,i2c,0.2,shuffled_gnn,Shuffled-GNN,27645.0,8934.0,28648.0,0.6531345992739458,0.9649888299357722,0.3118542306618263,positive
Fig5,i2c,0.2,cache_structural_only,Cache-Struct,27645.0,20606.0,28648.0,0.24570650656241275,0.9649888299357722,0.7192823233733594,positive
Fig5,i2c,0.2,structural_family_only,Struct-Family,27645.0,21675.0,28648.0,0.2083915107511868,0.9649888299357722,0.7565973191845853,positive
Fig5,int2float,0.05,pure_static_proximity,Static-Prox,535.0,535.0,591.0,0.0,0.9052453468697124,0.9052453468697124,zero
Fig5,int2float,0.05,no_gnn,SEGR w/o GNN,535.0,482.0,591.0,0.08967851099830795,0.9052453468697124,0.8155668358714044,positive
Fig5,int2float,0.05,gnn_only,GNN-only,535.0,292.0,591.0,0.41116751269035534,0.9052453468697124,0.494077834179357,positive
Fig5,int2float,0.05,shuffled_gnn,Shuffled-GNN,535.0,40.0,591.0,0.8375634517766497,0.9052453468697124,0.0676818950930626,positive
Fig5,int2float,0.05,cache_structural_only,Cache-Struct,535.0,136.0,591.0,0.6751269035532995,0.9052453468697124,0.23011844331641285,positive
Fig5,int2float,0.05,structural_family_only,Struct-Family,535.0,309.0,591.0,0.3824027072758037,0.9052453468697124,0.5228426395939086,positive
Fig5,int2float,0.1,pure_static_proximity,Static-Prox,869.0,869.0,938.0,0.0,0.9264392324093816,0.9264392324093816,zero
Fig5,int2float,0.1,no_gnn,SEGR w/o GNN,869.0,638.0,938.0,0.2462686567164179,0.9264392324093816,0.6801705756929638,positive
Fig5,int2float,0.1,gnn_only,GNN-only,869.0,449.0,938.0,0.44776119402985076,0.9264392324093816,0.47867803837953093,positive
Fig5,int2float,0.1,shuffled_gnn,Shuffled-GNN,869.0,96.0,938.0,0.82409381663113,0.9264392324093816,0.1023454157782516,positive
Fig5,int2float,0.1,cache_structural_only,Cache-Struct,869.0,290.0,938.0,0.6172707889125799,0.9264392324093816,0.3091684434968017,positive
Fig5,int2float,0.1,structural_family_only,Struct-Family,869.0,450.0,938.0,0.4466950959488273,0.9264392324093816,0.47974413646055436,positive
Fig5,int2float,0.2,pure_static_proximity,Static-Prox,1234.0,1151.0,1324.0,0.06268882175226587,0.93202416918429,0.8693353474320241,positive
Fig5,int2float,0.2,no_gnn,SEGR w/o GNN,1234.0,970.0,1324.0,0.19939577039274925,0.93202416918429,0.7326283987915407,positive
Fig5,int2float,0.2,gnn_only,GNN-only,1234.0,625.0,1324.0,0.45996978851963743,0.93202416918429,0.47205438066465255,positive
Fig5,int2float,0.2,shuffled_gnn,Shuffled-GNN,1234.0,173.0,1324.0,0.8013595166163142,0.93202416918429,0.13066465256797583,positive
Fig5,int2float,0.2,cache_structural_only,Cache-Struct,1234.0,397.0,1324.0,0.6321752265861027,0.93202416918429,0.2998489425981873,positive
Fig5,int2float,0.2,structural_family_only,Struct-Family,1234.0,814.0,1324.0,0.31722054380664655,0.93202416918429,0.6148036253776435,positive
Fig5,log2,0.05,pure_static_proximity,Static-Prox,137047.0,50268.0,197008.0,0.44048465036952816,0.6956418013481686,0.25515715097864045,positive
Fig5,log2,0.05,no_gnn,SEGR w/o GNN,137047.0,68315.0,197008.0,0.34887923333062615,0.6956418013481686,0.34676256801754246,positive
Fig5,log2,0.05,gnn_only,GNN-only,137047.0,62185.0,197008.0,0.3799947210265573,0.6956418013481686,0.3156470803216113,positive
Fig5,log2,0.05,shuffled_gnn,Shuffled-GNN,137047.0,40554.0,197008.0,0.48979229269877367,0.6956418013481686,0.20584950864939494,positive
Fig5,log2,0.05,cache_structural_only,Cache-Struct,137047.0,38593.0,197008.0,0.49974620319987006,0.6956418013481686,0.19589559814829854,positive
Fig5,log2,0.05,structural_family_only,Struct-Family,137047.0,76588.0,197008.0,0.30688601478112565,0.6956418013481686,0.38875578656704296,positive
Fig5,log2,0.1,pure_static_proximity,Static-Prox,227326.0,74897.0,353573.0,0.4311104071860691,0.6429393647139346,0.21182895752786554,positive
Fig5,log2,0.1,no_gnn,SEGR w/o GNN,227326.0,98094.0,353573.0,0.3655030220067709,0.6429393647139346,0.2774363427071637,positive
Fig5,log2,0.1,gnn_only,GNN-only,227326.0,123450.0,353573.0,0.29378940134003445,0.6429393647139346,0.34914996337390014,positive
