circuit,label_mode,budget,n_nodes,budget_nodes,rank_mode,gnn_nonrandom,gnn_reliable,gnn_struct_agree,gnn_participated,frontier_source,global_rank_prefix_consistent,runtime_no_fi,chosen_family,family_reason,family_peer_frontier_overlap,family_gnn_frontier_overlap,family_cache_frontier_overlap,family_static_core_overlap,method,rank_action,selected,fault_instance_total,fault_instance_selected,fault_instance_snc,fault_instance_nsde,fault_instance_oracle
div,unsupervised,0.1,57119,5712,segr_structure_derived_global_rank,0.7148905281610001,True,0.41747566441402006,True,structure_derived_rank_frontier,True,False,inv_depth,relative-depth-frontier,0.14743756735813227,0.1934321185422507,0.2008519947038167,0.11516916872059153,pure_static_proximity,static_proximity_global_prefix,5712,25925,2327,0.0897589199614272,0.2036939775910364,11424
div,unsupervised,0.1,57119,5712,segr_structure_derived_global_rank,0.7148905281610001,True,0.41747566441402006,True,structure_derived_rank_frontier,True,False,inv_depth,relative-depth-frontier,0.14743756735813227,0.1934321185422507,0.2008519947038167,0.11516916872059153,segr_structure_derived_selector,global_rank_prefix,5712,25925,3657,0.14106075216972036,0.32011554621848737,11424
div,unsupervised,0.2,57119,11424,segr_structure_derived_global_rank,0.7148905281610001,True,0.41747566441402006,True,structure_derived_rank_frontier,True,False,inv_depth,relative-depth-frontier,0.14743756735813227,0.1934321185422507,0.2008519947038167,0.11516916872059153,pure_static_proximity,static_proximity_global_prefix,11424,25925,8862,0.3418322082931533,0.5061396995830716,17509
div,unsupervised,0.2,57119,11424,segr_structure_derived_global_rank,0.7148905281610001,True,0.41747566441402006,True,structure_derived_rank_frontier,True,False,inv_depth,relative-depth-frontier,0.14743756735813227,0.1934321185422507,0.2008519947038167,0.11516916872059153,segr_structure_derived_selector,global_rank_prefix,11424,25925,6759,0.2607135969141755,0.38603004169284366,17509
hyp,unsupervised,0.05,214207,10711,segr_structure_derived_global_rank,0.7547691751748317,True,0.9881645763890833,True,structure_derived_rank_frontier,True,False,index_mid,relative-mid-index,0.053488998902720165,0.12808416029499484,1.2017641898306715e-05,0.058360186179735055,pure_static_proximity,static_proximity_global_prefix,10711,120392,10542,0.08756395773805568,0.49211091401363083,21422
hyp,unsupervised,0.05,214207,10711,segr_structure_derived_global_rank,0.7547691751748317,True,0.9881645763890833,True,structure_derived_rank_frontier,True,False,index_mid,relative-mid-index,0.053488998902720165,0.12808416029499484,1.2017641898306715e-05,0.058360186179735055,segr_structure_derived_selector,global_rank_prefix,10711,120392,1878,0.01559904312578909,0.08766688451125011,21422
hyp,unsupervised,0.1,214207,21421,segr_structure_derived_global_rank,0.7547691751748317,True,0.9881645763890833,True,structure_derived_rank_frontier,True,False,index_mid,relative-mid-index,0.053488998902720165,0.12808416029499484,1.2017641898306715e-05,0.058360186179735055,pure_static_proximity,static_proximity_global_prefix,21421,120392,21043,0.17478736128646422,0.5642462594519225,37294
hyp,unsupervised,0.1,214207,21421,segr_structure_derived_global_rank,0.7547691751748317,True,0.9881645763890833,True,structure_derived_rank_frontier,True,False,index_mid,relative-mid-index,0.053488998902720165,0.12808416029499484,1.2017641898306715e-05,0.058360186179735055,segr_structure_derived_selector,global_rank_prefix,21421,120392,7217,0.05994584357764635,0.19351638333243953,37294
hyp,unsupervised,0.2,214207,42842,segr_structure_derived_global_rank,0.7547691751748317,True,0.9881645763890833,True,structure_derived_rank_frontier,True,False,index_mid,relative-mid-index,0.053488998902720165,0.12808416029499484,1.2017641898306715e-05,0.058360186179735055,pure_static_proximity,static_proximity_global_prefix,42842,120392,35616,0.29583361020665827,0.6065911606914758,58715
hyp,unsupervised,0.2,214207,42842,segr_structure_derived_global_rank,0.7547691751748317,True,0.9881645763890833,True,structure_derived_rank_frontier,True,False,index_mid,relative-mid-index,0.053488998902720165,0.12808416029499484,1.2017641898306715e-05,0.058360186179735055,segr_structure_derived_selector,global_rank_prefix,42842,120392,17696,0.14698651073161006,0.30138806097249426,58715
i2c,unsupervised,0.05,1357,68,segr_structure_derived_global_rank,0.7207204092920354,True,0.6504655235988202,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.43484029502299065,0.3292181069958848,0.3130081300813008,1.0,pure_static_proximity,static_proximity_global_prefix,68,909,80,0.08800880088008801,0.5882352941176471,136
i2c,unsupervised,0.05,1357,68,segr_structure_derived_global_rank,0.7207204092920354,True,0.6504655235988202,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.43484029502299065,0.3292181069958848,0.3130081300813008,1.0,segr_structure_derived_selector,global_rank_prefix,68,909,80,0.08800880088008801,0.5882352941176471,136
i2c,unsupervised,0.1,1357,136,segr_structure_derived_global_rank,0.7207204092920354,True,0.6504655235988202,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.43484029502299065,0.3292181069958848,0.3130081300813008,1.0,pure_static_proximity,static_proximity_global_prefix,136,909,175,0.1925192519251925,0.7847533632286996,223
i2c,unsupervised,0.1,1357,136,segr_structure_derived_global_rank,0.7207204092920354,True,0.6504655235988202,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.43484029502299065,0.3292181069958848,0.3130081300813008,1.0,segr_structure_derived_selector,global_rank_prefix,136,909,175,0.1925192519251925,0.7847533632286996,223
i2c,unsupervised,0.2,1357,272,segr_structure_derived_global_rank,0.7207204092920354,True,0.6504655235988202,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.43484029502299065,0.3292181069958848,0.3130081300813008,1.0,pure_static_proximity,static_proximity_global_prefix,272,909,334,0.36743674367436746,0.9303621169916435,359
i2c,unsupervised,0.2,1357,272,segr_structure_derived_global_rank,0.7207204092920354,True,0.6504655235988202,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.43484029502299065,0.3292181069958848,0.3130081300813008,1.0,segr_structure_derived_selector,global_rank_prefix,272,909,334,0.36743674367436746,0.9303621169916435,359
int2float,unsupervised,0.05,253,13,segr_structure_derived_global_rank,0.7065662202380952,True,0.5923239087301587,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.4360574310846462,0.2549019607843137,0.391304347826087,1.0,pure_static_proximity,static_proximity_global_prefix,13,99,19,0.1919191919191919,0.95,20
int2float,unsupervised,0.05,253,13,segr_structure_derived_global_rank,0.7065662202380952,True,0.5923239087301587,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.4360574310846462,0.2549019607843137,0.391304347826087,1.0,segr_structure_derived_selector,global_rank_prefix,13,99,19,0.1919191919191919,0.95,20
int2float,unsupervised,0.1,253,26,segr_structure_derived_global_rank,0.7065662202380952,True,0.5923239087301587,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.4360574310846462,0.2549019607843137,0.391304347826087,1.0,pure_static_proximity,static_proximity_global_prefix,26,99,31,0.31313131313131315,0.9393939393939394,33
int2float,unsupervised,0.1,253,26,segr_structure_derived_global_rank,0.7065662202380952,True,0.5923239087301587,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.4360574310846462,0.2549019607843137,0.391304347826087,1.0,segr_structure_derived_selector,global_rank_prefix,26,99,31,0.31313131313131315,0.9393939393939394,33
int2float,unsupervised,0.2,253,51,segr_structure_derived_global_rank,0.7065662202380952,True,0.5923239087301587,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.4360574310846462,0.2549019607843137,0.391304347826087,1.0,pure_static_proximity,static_proximity_global_prefix,51,99,45,0.45454545454545453,0.7758620689655172,58
int2float,unsupervised,0.2,253,51,segr_structure_derived_global_rank,0.7065662202380952,True,0.5923239087301587,True,structure_derived_rank_frontier,True,False,pdom_dist,relative-pdom-static-aligned,0.4360574310846462,0.2549019607843137,0.391304347826087,1.0,segr_structure_derived_selector,global_rank_prefix,51,99,48,0.48484848484848486,0.8275862068965517,58
log2,unsupervised,0.05,32028,1602,segr_structure_derived_global_rank,0.7600679212071065,True,0.7770113888281762,True,structure_derived_rank_frontier,True,False,sink_reach_near_pr,relative-sink-gnn-frontier,0.2936986783904086,0.1922056723117731,0.366623786691615,0.056818181818181816,pure_static_proximity,static_proximity_global_prefix,1602,3700,230,0.062162162162162166,0.14232673267326731,1616
log2,unsupervised,0.05,32028,1602,segr_structure_derived_global_rank,0.7600679212071065,True,0.7770113888281762,True,structure_derived_rank_frontier,True,False,sink_reach_near_pr,relative-sink-gnn-frontier,0.2936986783904086,0.1922056723117731,0.366623786691615,0.056818181818181816,segr_structure_derived_selector,global_rank_prefix,1602,3700,704,0.19027027027027027,0.43564356435643564,1616
log2,unsupervised,0.1,32028,3203,segr_structure_derived_global_rank,0.7600679212071065,True,0.7770113888281762,True,structure_derived_rank_frontier,True,False,sink_reach_near_pr,relative-sink-gnn-frontier,0.2936986783904086,0.1922056723117731,0.366623786691615,0.056818181818181816,pure_static_proximity,static_proximity_global_prefix,3203,3700,321,0.08675675675675676,0.09978240596829344,3217
log2,unsupervised,0.1,32028,3203,segr_structure_derived_global_rank,0.7600679212071065,True,0.7770113888281762,True,structure_derived_rank_frontier,True,False,sink_reach_near_pr,relative-sink-gnn-frontier,0.2936986783904086,0.1922056723117731,0.366623786691615,0.056818181818181816,segr_structure_derived_selector,global_rank_prefix,3203,3700,1097,0.2964864864864865,0.3410009325458502,3217
log2,unsupervised,0.2,32028,6406,segr_structure_derived_global_rank,0.7600679212071065,True,0.7770113888281762,True,structure_derived_rank_frontier,True,False,sink_reach_near_pr,relative-sink-gnn-frontier,0.2936986783904086,0.1922056723117731,0.366623786691615,0.056818181818181816,pure_static_proximity,static_proximity_global_prefix,6406,3700,706,0.1908108108108108,0.1908108108108108,3700
log2,unsupervised,0.2,32028,6406,segr_structure_derived_global_rank,0.7600679212071065,True,0.7770113888281762,True,structure_derived_rank_frontier,True,False,sink_reach_near_pr,relative-sink-gnn-frontier,0.2936986783904086,0.1922056723117731,0.366623786691615,0.056818181818181816,segr_structure_derived_selector,global_rank_prefix,6406,3700,1787,0.482972972972973,0.482972972972973,3700
