circuit,vector_seed,vectors,method,method_ratio,loss_rows,random_mean,random_p05,random_p95,gate,random_passed
int2float,7089,128,rrf_static_cache_gnn,0.740447089922263,3,0.18833887566800322,0.06429780033840947,0.3217522658610272,0.5,True
int2float,7089,128,max_visible_signal,0.5004846964733494,3,0.18833887566800322,0.06429780033840947,0.3217522658610272,0.5,True
log2,7089,128,centrality_only,0.4501389386163632,0,0.24540307834583458,0.20403080077966376,0.29432871558659185,0.5,False
log2,7089,128,scoap_proxy,0.6433177045577685,0,0.24540307834583458,0.20403080077966376,0.29432871558659185,0.5,True
log2,7089,128,observability_cone_proxy,0.674322830303282,0,0.24540307834583458,0.20403080077966376,0.29432871558659185,0.5,True
log2,7089,128,cone_centrality_proxy,0.6284064310522672,0,0.24540307834583458,0.20403080077966376,0.29432871558659185,0.5,True
log2,7089,128,structural_borda_no_gnn,0.6413511048349803,0,0.24540307834583458,0.20403080077966376,0.29432871558659185,0.5,True
log2,7089,128,equal_rank_fusion_static_cache_gnn,0.6306483311617463,0,0.24540307834583458,0.20403080077966376,0.29432871558659185,0.5,True
log2,7089,128,rrf_static_cache_gnn,0.47484275344431337,0,0.24540307834583458,0.20403080077966376,0.29432871558659185,0.5,False
log2,7089,128,max_visible_signal,0.3863783955955466,0,0.24540307834583458,0.20403080077966376,0.29432871558659185,0.5,False
max,7089,128,centrality_only,0.3454771986757773,3,0.20112004845508485,0.156789079487799,0.23955034338070597,0.5,False
max,7089,128,scoap_proxy,0.4721912875244769,0,0.20112004845508485,0.156789079487799,0.23955034338070597,0.5,False
max,7089,128,observability_cone_proxy,0.49750925200404117,1,0.20112004845508485,0.156789079487799,0.23955034338070597,0.5,False
max,7089,128,cone_centrality_proxy,0.43342619789612047,2,0.20112004845508485,0.156789079487799,0.23955034338070597,0.5,False
max,7089,128,structural_borda_no_gnn,0.328654104899723,2,0.20112004845508485,0.156789079487799,0.23955034338070597,0.5,False
max,7089,128,equal_rank_fusion_static_cache_gnn,0.2643932668773472,2,0.20112004845508485,0.156789079487799,0.23955034338070597,0.5,False
max,7089,128,rrf_static_cache_gnn,0.2838037602492065,2,0.20112004845508485,0.156789079487799,0.23955034338070597,0.5,False
max,7089,128,max_visible_signal,0.03742284218011295,3,0.20112004845508485,0.156789079487799,0.23955034338070597,0.5,False
mem_ctrl,7089,128,centrality_only,0.055156226190246314,3,0.13875022555579755,0.08589134440237324,0.21109052387678343,0.5,False
mem_ctrl,7089,128,scoap_proxy,0.9057924271102866,0,0.13875022555579755,0.08589134440237324,0.21109052387678343,0.5,True
mem_ctrl,7089,128,observability_cone_proxy,0.7512990083674708,3,0.13875022555579755,0.08589134440237324,0.21109052387678343,0.5,True
mem_ctrl,7089,128,cone_centrality_proxy,0.1525250520907792,3,0.13875022555579755,0.08589134440237324,0.21109052387678343,0.5,False
mem_ctrl,7089,128,structural_borda_no_gnn,0.299151472705176,3,0.13875022555579755,0.08589134440237324,0.21109052387678343,0.5,False
mem_ctrl,7089,128,equal_rank_fusion_static_cache_gnn,0.2872920418948042,3,0.13875022555579755,0.08589134440237324,0.21109052387678343,0.5,False
mem_ctrl,7089,128,rrf_static_cache_gnn,0.5900767344996584,3,0.13875022555579755,0.08589134440237324,0.21109052387678343,0.5,True
mem_ctrl,7089,128,max_visible_signal,0.5546205977173252,3,0.13875022555579755,0.08589134440237324,0.21109052387678343,0.5,True
