circuit,vector_seed,vectors,budget,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss,chosen_family
dec,9089,128,0.2,1280.0,1280.0,1280.0,1.0,False,index_mid
div,5089,128,0.05,87621.0,33846.0,118087.0,0.7420037768763708,False,inv_depth
div,5089,128,0.1,108387.0,47545.0,137590.0,0.7877534704557018,False,inv_depth
div,5089,128,0.2,115165.0,76196.0,144041.0,0.7995293006852215,False,inv_depth
div,6089,128,0.05,88002.0,34254.0,119607.0,0.7357596127316963,False,inv_depth
div,6089,128,0.1,108878.0,48049.0,140458.0,0.7751641059960985,False,inv_depth
div,6089,128,0.2,115731.0,79451.0,147780.0,0.7831303288672351,False,inv_depth
div,7089,128,0.05,89238.0,34215.0,120176.0,0.7425609106643589,False,inv_depth
div,7089,128,0.1,110055.0,47417.0,143757.0,0.7655627204240489,False,inv_depth
div,7089,128,0.2,117067.0,81956.0,151704.0,0.7716803775773875,False,inv_depth
div,8089,128,0.05,88160.0,33266.0,117770.0,0.7485777362656024,False,inv_depth
div,8089,128,0.1,109047.0,46778.0,137611.0,0.7924293842788731,False,inv_depth
div,8089,128,0.2,115738.0,76096.0,144982.0,0.7982922017905671,False,inv_depth
div,9089,128,0.05,88238.0,34137.0,117769.0,0.7492464061000773,False,inv_depth
div,9089,128,0.1,109276.0,47749.0,138023.0,0.7917231186106664,False,inv_depth
div,9089,128,0.2,116273.0,75520.0,144623.0,0.8039730886511828,False,inv_depth
hyp,5089,128,0.05,1122236.0,745467.0,1322679.0,0.8484568062243372,False,index_mid
hyp,5089,128,0.1,2191457.0,1018454.0,2590685.0,0.8458986715868583,False,index_mid
hyp,5089,128,0.2,3587436.0,1408874.0,4929529.0,0.7277441719077016,False,index_mid
hyp,6089,128,0.05,1144956.0,733354.0,1339015.0,0.8550733188201776,False,index_mid
hyp,6089,128,0.1,2243109.0,903000.0,2637885.0,0.8503437412927402,False,index_mid
hyp,6089,128,0.2,3631323.0,1158146.0,5067409.0,0.7166034950010942,False,index_mid
hyp,7089,128,0.05,1109611.0,764617.0,1316997.0,0.8425311523109013,False,index_mid
hyp,7089,128,0.1,2157635.0,1083944.0,2574553.0,0.8380619859059029,False,index_mid
hyp,7089,128,0.2,3559527.0,1536353.0,4877593.0,0.7297712211740504,False,index_mid
hyp,8089,128,0.05,1137567.0,747915.0,1336179.0,0.8513582386790991,False,index_mid
hyp,8089,128,0.1,2218870.0,964408.0,2626077.0,0.8449371438842045,False,index_mid
hyp,8089,128,0.2,3611878.0,1279164.0,5025514.0,0.7187081759199159,False,index_mid
hyp,9089,128,0.05,1116978.0,750813.0,1315240.0,0.8492579301116147,False,index_mid
hyp,9089,128,0.1,2167877.0,1051670.0,2572306.0,0.8427757039792311,False,index_mid
hyp,9089,128,0.2,3591373.0,1477524.0,4893839.0,0.7338559768721448,False,index_mid
i2c,5089,128,0.05,8704.0,8704.0,8704.0,1.0,False,pdom_dist
i2c,5089,128,0.1,17408.0,17408.0,17408.0,1.0,False,pdom_dist
i2c,5089,128,0.2,27185.0,27185.0,27965.0,0.9721079921330235,False,pdom_dist
i2c,6089,128,0.05,8704.0,8704.0,8704.0,1.0,False,pdom_dist
i2c,6089,128,0.1,17408.0,17408.0,17408.0,1.0,False,pdom_dist
i2c,6089,128,0.2,27447.0,27447.0,28421.0,0.9657295661658633,False,pdom_dist
i2c,7089,128,0.05,8704.0,8704.0,8704.0,1.0,False,pdom_dist
i2c,7089,128,0.1,17408.0,17408.0,17408.0,1.0,False,pdom_dist
i2c,7089,128,0.2,27645.0,27645.0,28648.0,0.9649888299357722,False,pdom_dist
i2c,8089,128,0.05,8704.0,8704.0,8704.0,1.0,False,pdom_dist
i2c,8089,128,0.1,17408.0,17408.0,17408.0,1.0,False,pdom_dist
i2c,8089,128,0.2,26708.0,26708.0,27535.0,0.9699654984565099,False,pdom_dist
i2c,9089,128,0.05,8704.0,8704.0,8704.0,1.0,False,pdom_dist
i2c,9089,128,0.1,17408.0,17408.0,17408.0,1.0,False,pdom_dist
i2c,9089,128,0.2,26721.0,26721.0,27517.0,0.9710724279536287,False,pdom_dist
int2float,5089,128,0.05,621.0,621.0,668.0,0.9296407185628742,False,pdom_dist
int2float,5089,128,0.1,1008.0,1008.0,1088.0,0.9264705882352942,False,pdom_dist
int2float,5089,128,0.2,1459.0,1371.0,1553.0,0.9394719896973599,False,pdom_dist
int2float,6089,128,0.05,648.0,648.0,677.0,0.9571639586410635,False,pdom_dist
int2float,6089,128,0.1,1040.0,1040.0,1093.0,0.9515096065873742,False,pdom_dist
int2float,6089,128,0.2,1500.0,1422.0,1563.0,0.9596928982725528,False,pdom_dist
int2float,7089,128,0.05,535.0,535.0,591.0,0.9052453468697124,False,pdom_dist
int2float,7089,128,0.1,869.0,869.0,938.0,0.9264392324093816,False,pdom_dist
int2float,7089,128,0.2,1234.0,1151.0,1324.0,0.93202416918429,False,pdom_dist
int2float,8089,128,0.05,600.0,600.0,648.0,0.9259259259259259,False,pdom_dist
int2float,8089,128,0.1,959.0,959.0,1049.0,0.9142040038131554,False,pdom_dist
int2float,8089,128,0.2,1385.0,1308.0,1482.0,0.9345479082321188,False,pdom_dist
int2float,9089,128,0.05,603.0,603.0,667.0,0.904047976011994,False,pdom_dist
int2float,9089,128,0.1,988.0,988.0,1085.0,0.9105990783410138,False,pdom_dist
int2float,9089,128,0.2,1446.0,1375.0,1552.0,0.9317010309278351,False,pdom_dist
log2,5089,128,0.05,135944.0,51207.0,196749.0,0.6909514152549695,False,sink_reach_near_pr
log2,5089,128,0.1,226081.0,77432.0,351924.0,0.6424142712631137,False,sink_reach_near_pr
log2,5089,128,0.2,369022.0,147995.0,570924.0,0.6463592352046857,False,sink_reach_near_pr
log2,6089,128,0.05,135152.0,50828.0,197091.0,0.6857340010452024,False,sink_reach_near_pr
log2,6089,128,0.1,223843.0,75362.0,354034.0,0.6322641328234011,False,sink_reach_near_pr
log2,6089,128,0.2,366116.0,146984.0,575314.0,0.6363759616487692,False,sink_reach_near_pr
log2,7089,128,0.05,137047.0,50268.0,197008.0,0.6956418013481686,False,sink_reach_near_pr
log2,7089,128,0.1,227326.0,74897.0,353573.0,0.6429393647139346,False,sink_reach_near_pr
log2,7089,128,0.2,370340.0,145152.0,574667.0,0.6444427816457183,False,sink_reach_near_pr
log2,8089,128,0.05,134726.0,51422.0,196883.0,0.6842947334203563,False,sink_reach_near_pr
log2,8089,128,0.1,222749.0,76655.0,353171.0,0.6307114683821718,False,sink_reach_near_pr
log2,8089,128,0.2,364935.0,147271.0,572180.0,0.6377975462267119,False,sink_reach_near_pr
log2,9089,128,0.05,135000.0,50365.0,196681.0,0.6863906528846203,False,sink_reach_near_pr
log2,9089,128,0.1,223459.0,75191.0,351890.0,0.6350251499047997,False,sink_reach_near_pr
log2,9089,128,0.2,366416.0,146241.0,570532.0,0.6422356677627197,False,sink_reach_near_pr
max,5089,128,0.05,8787.0,8787.0,16211.0,0.5420393559928444,False,pdom_dist
max,5089,128,0.1,16946.0,16656.0,32031.0,0.5290499828291343,False,pdom_dist
max,5089,128,0.2,27229.0,17765.0,59005.0,0.4614693670027964,False,pdom_dist
max,6089,128,0.05,9129.0,9129.0,16203.0,0.5634141825587854,False,pdom_dist
max,6089,128,0.1,17565.0,17226.0,31991.0,0.5490606733143697,False,pdom_dist
max,6089,128,0.2,28178.0,18418.0,58283.0,0.4834685929001596,False,pdom_dist
max,7089,128,0.05,8908.0,8908.0,16556.0,0.5380526697269872,False,pdom_dist
max,7089,128,0.1,17051.0,16777.0,32824.0,0.5194674628320741,False,pdom_dist
max,7089,128,0.2,27510.0,17870.0,60709.0,0.45314533265248974,False,pdom_dist
max,8089,128,0.05,8764.0,8764.0,16325.0,0.5368453292496171,False,pdom_dist
